products,reactants,predictions
O=C(c1ccc2nc(N3CC[C@@H](N4CCCCC4)C3)sc2c1)N1CCOCC1,C1COCCN1.O=C(O)c1ccc2nc(N3CC[C@@H](N4CCCCC4)C3)sc2c1,"C1COCCN1.O=C(O)c1ccc2nc(N3CC[C@@H](N4CCCCC4)C3)sc2c1,C1COCCN1.O=C(Cl)c1ccc2nc(N3CC[C@@H](N4CCCCC4)C3)sc2c1,C1COCCN1.COC(=O)c1ccc2nc(N3CC[C@@H](N4CCCCC4)C3)sc2c1,C1COCCN1.CCOC(=O)c1ccc2nc(N3CC[C@@H](N4CCCCC4)C3)sc2c1,C1COCCN1.COC(=O)c1ccc2nc(N3CC[C@@H](N4CCCCC4)C3)sc2c1,C1COCCN1.O=C(O)c1ccc2nc(N3CCC(N4CCCCC4)C3)sc2c1,C1COCCN1.O=C([O-])c1ccc2nc(N3CC[C@@H](N4CCCCC4)C3)sc2c1,C1COCCN1.CCOC(=O)c1ccc2nc(N3CC[C@@H](N4CCCCC4)C3)sc2c1,C1COCCN1.CS(=O)(=O)OC1CCN(c2nc3ccc(C(=O)O)cc3s2)C1,"
CCN(CC)c1ccc([N+](=O)[O-])cn1,CCNCC.O=[N+]([O-])c1ccc(Cl)nc1,"CCNCC.O=[N+]([O-])c1ccc(Cl)nc1,CCNCC.O=[N+]([O-])c1ccc(Br)nc1,CCBr.CCNc1ccc([N+](=O)[O-])cn1,CCNCC.O=[N+]([O-])c1ccc(F)nc1,CCI.CCNc1ccc([N+](=O)[O-])cn1,CCI.CCN(CC)c1ccc([N+](=O)[O-])cn1,C#CN(CC)c1ccc([N+](=O)[O-])cn1,CCNCC.O=[N+]([O-])c1ccc(Br)nc1,CCNCC,C=O.CCNc1ccc([N+](=O)[O-])cn1"
CC1(COc2ccc(Br)c(F)c2)COC1,CC1(CO)COC1.Oc1ccc(Br)c(F)c1,"CC1(CO)COC1.Oc1ccc(Br)c(F)c1,CC1(COS(C)(=O)=O)COC1.Oc1ccc(Br)c(F)c1,CC1(CBr)COC1.Oc1ccc(Br)c(F)c1,CC1(CI)COC1.Oc1ccc(Br)c(F)c1,CC1(CO)COC1.Fc1ccc(Br)c(F)c1,CC1(CCl)COC1.Oc1ccc(Br)c(F)c1,CC1(CO)COC1.Oc1ccc(Br)c(F)c1,CC1(CO)COC1.Fc1cc(Br)ccc1Br,CC1(C[Zn+])COC1.Oc1ccc(Br)c(F)c1,CC1(CO)COC1.Fc1cc(I)ccc1Br"
CCC1(N(C)C)CN(C(c2ccccc2)c2ccccc2)C1,CCC1(OS(C)(=O)=O)CN(C(c2ccccc2)c2ccccc2)C1.CNC,"CCC1(Br)CN(C(c2ccccc2)c2ccccc2)C1.CNC,CCC1(N(C)C)CNC1.O=C(c1ccccc1)c1ccccc1,CCC1(OS(C)(=O)=O)CN(C(c2ccccc2)c2ccccc2)C1.CNC,,CCC1(Cl)CN(C(c2ccccc2)c2ccccc2)C1.CNC,CCC1(NC)CN(C(c2ccccc2)c2ccccc2)C1.CI,CCC1(N(C)C)CNC1.ClC(c1ccccc1)c1ccccc1,BrC(c1ccccc1)c1ccccc1.CCC1(N(C)C)CNC1,CCC1(O)CN(C(c2ccccc2)c2ccccc2)C1.CNC,CCC1(F)CN(C(c2ccccc2)c2ccccc2)C1.CNC"
CCOC(=O)c1cccc(F)c1CBr,CCOC(=O)c1cccc(F)c1C.O=C1CCC(=O)N1Br,"CCOC(=O)c1cccc(F)c1C.O=C1CCC(=O)N1Br,BrC(Br)(Br)Br.CCOC(=O)c1cccc(F)c1CO,CCO.O=C(O)c1cccc(F)c1CBr,CCO.O=C(Cl)c1cccc(F)c1CBr,CCO.Cc1c(F)cccc1C(=O)O,CCO.Cc1c(F)cccc1C(=O)Cl,BrC(Br)(Br)Br.CCOC(=O)c1cccc(F)c1C,CCO.Cc1c(F)cccc1C(=O)O,CCO.Cc1c(F)cccc1C(=O)Br,C=COC(=O)c1cccc(F)c1C.O=C1CCC(=O)N1Br"
O=C(O)CCC(=NO)c1ccc(-c2ccc(Br)cc2)cc1,NO.O=C(O)CCC(=O)c1ccc(-c2ccc(Br)cc2)cc1,"NO.O=C(O)CCC(=O)c1ccc(-c2ccc(Br)cc2)cc1,NO.O=C(O)CCC(=O)c1ccc(-c2ccc(Br)cc2)cc1,NO.O=C(O)CCC(=NO)c1ccc(-c2ccc(Br)cc2)cc1,NO.O=C(O)CCC(O)c1ccc(-c2ccc(Br)cc2)cc1,NO.NOC(=O)CCC(=O)c1ccc(-c2ccc(Br)cc2)cc1,NO.O=C(O)CCC(=C(O)c1ccc(-c2ccc(Br)cc2)cc1)c1ccc(Br)cc1,NO.O=Cc1ccc(-c2ccc(Br)cc2)cc1,NO.O=C(O)/C=C/C(=O)c1ccc(-c2ccc(Br)cc2)cc1,NO,NO.O=CCCC(=O)c1ccc(-c2ccc(Br)cc2)cc1"
O=C(O)COc1ccc(F)c(NCc2cccc(-c3cccc(F)c3)c2)c1F,CCOC(=O)COc1ccc(F)c(NCc2cccc(-c3cccc(F)c3)c2)c1F,"COC(=O)COc1ccc(F)c(NCc2cccc(-c3cccc(F)c3)c2)c1F,Nc1c(F)ccc(OCC(=O)O)c1F.O=Cc1cccc(-c2cccc(F)c2)c1,CCOC(=O)COc1ccc(F)c(NCc2cccc(-c3cccc(F)c3)c2)c1F,NCc1cccc(-c2cccc(F)c2)c1.O=C(O)COc1ccc(F)c(Br)c1F,CC(C)(C)OC(=O)COc1ccc(F)c(NCc2cccc(-c3cccc(F)c3)c2)c1F,Nc1c(F)ccc(OCC(=O)O)c1F.OCc1cccc(-c2cccc(F)c2)c1,Fc1cccc(-c2cccc(CBr)c2)c1.Nc1c(F)ccc(OCC(=O)O)c1F,Fc1cccc(-c2cccc(CBr)c2)c1.Nc1c(F)ccc(OCC(=O)O)c1F,Nc1c(F)ccc(OCC(=O)O)c1F.OB(O)c1cccc(F)c1,NCc1cccc(-c2cccc(F)c2)c1.O=C(O)COc1ccc(F)c(F)c1F"
COCCN(c1ccccc1/C=C/c1ccncc1)S(=O)(=O)c1ccc(OC)cc1,COCCBr.COc1ccc(S(=O)(=O)Nc2ccccc2/C=C/c2ccncc2)cc1,"Brc1ccncc1.C=Cc1ccccc1NS(=O)(=O)c1ccc(OC)cc1,C=Cc1ccncc1.COCCN(c1ccccc1I)S(=O)(=O)c1ccc(OC)cc1,COCCBr.COc1ccc(S(=O)(=O)Nc2ccccc2/C=C/c2ccncc2)cc1,Brc1ccncc1.C=Cc1ccccc1N(CCOC)S(=O)(=O)c1ccc(OC)cc1,COCCNc1ccccc1/C=C/c1ccncc1.COc1ccc(S(=O)(=O)Cl)cc1,C=Cc1ccncc1.COCCN(c1ccccc1Br)S(=O)(=O)c1ccc(OC)cc1,C=Cc1ccncc1.COCCNc1ccccc1I,Brc1ccncc1.COCCN(c1ccccc1/C=C/c1ccncc1)S(=O)(=O)c1ccc(OC)cc1,Brc1ccncc1.COCCNc1ccccc1/C=C/c1ccc(OC)cc1,C=Cc1ccncc1.COCCNS(=O)(=O)c1ccc(OC)cc1"
N[C@@H](Cc1ccccc1C(=O)c1ccccc1)C(=O)SCCC(=O)N1CCC[C@H]1C(=O)O,CC(C)(C)OC(=O)[C@@H]1CCCN1C(=O)CCSC(=O)[C@@H](N)Cc1ccccc1C(=O)c1ccccc1,"CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1C(=O)c1ccccc1)C(=O)SCCC(=O)N1CCC[C@H]1C(=O)O,O=C(N[C@@H](Cc1ccccc1C(=O)c1ccccc1)C(=O)SCCC(=O)N1CCC[C@H]1C(=O)O)OCc1ccccc1,O=C(N[C@@H](Cc1ccccc1C(=O)c1ccccc1)C(=O)SCCC(=O)N1CCC[C@H]1C(=O)O)OCC1c2ccccc2-c2ccccc21,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1C(=O)c1ccccc1)C(=S)SCCC(=O)N1CCC[C@H]1C(=O)O,CC(C)(C)OC(=O)N[C@H](Cc1ccccc1C(=O)c1ccccc1)C(=O)SCCC(=O)N1CCC[C@H]1C(=O)O,O=C(N[C@@H](Cc1ccccc1C(=O)c1ccccc1)C(=O)SCCC(=O)N1CCC[C@H]1C(=O)O)OCc1ccccc1,[N-]=[N+]=N[C@@H](Cc1ccccc1C(=O)c1ccccc1)C(=O)SCCC(=O)N1CCC[C@H]1C(=O)O,O=C(N[C@@H](Cc1ccccc1C(=O)c1ccccc1)C(=O)SCCC(=O)N1CCC[C@H]1C(=O)O)OCC1c2ccccc2-c2ccccc21,O=C(N[C@@H](Cc1ccccc1C(=O)c1ccccc1)C(=S)SCCC(=O)N1CCC[C@H]1C(=O)O)OCc1ccccc1,O=C(c1ccccc1)c1ccccc1C[C@H](NC(=O)C(F)(F)F)C(=O)SCCC(=O)N1CCC[C@H]1C(=O)O"
CCOC(=O)NCC(CCO)c1ccc(F)c(F)c1,CCOC(=O)Cl.NCC(CCO)c1ccc(F)c(F)c1,"CCOC(=O)Cl.NCC(CCO)c1ccc(F)c(F)c1,CCOC(=O)NCC(CCO[Si](C)(C)C(C)(C)C)c1ccc(F)c(F)c1,CCOC(=O)NCC(CC(=O)O)c1ccc(F)c(F)c1,CCOC(=O)Cl.NCC(CCO)c1ccc(F)c(F)c1,CCO.NCC(CCO)c1ccc(F)c(F)c1,C=CC(CNC(=O)OCC)c1ccc(F)c(F)c1.O,CCOC(=O)NCC(CC(=O)OC)c1ccc(F)c(F)c1,CCI.NCC(CCO)c1ccc(F)c(F)c1,,"
COc1ccc(C(=O)CN(Cc2ccccc2)Cc2cccc(OC)c2)cc1,COc1ccc(C(=O)CNCc2ccccc2)cc1.COc1cccc(C=O)c1,"COc1ccc(C(=O)CBr)cc1.COc1cccc(CNCc2ccccc2)c1,COc1ccc(C(=O)CCl)cc1.COc1cccc(CNCc2ccccc2)c1,COc1ccc(C(O)CN(Cc2ccccc2)Cc2cccc(OC)c2)cc1,BrCc1ccccc1.COc1ccc(C(=O)CNCc2cccc(OC)c2)cc1,COc1ccc(CC(=O)CBr)cc1.COc1cccc(CNCc2ccccc2)c1,COc1ccc(C(=O)CBr)cc1.COc1cccc(CNCc2ccccc2)c1,COc1ccc(Br)cc1.COc1cccc(CN(CC(=O)N(C)OC)Cc2ccccc2)c1,CI.COc1ccc(C(=O)CNCc2cccc(OC)c2)cc1,COc1ccc([C@@H](O)CN(Cc2ccccc2)Cc2cccc(OC)c2)cc1,CI.COc1ccc(C(=O)CNCc2ccccc2)cc1"
N#CC1(Nc2ccccc2)CCN(CC2CCc3ccccc3C2O)CC1,N#CC1(Nc2ccccc2)CCN(CC2CCc3ccccc3C2=O)CC1,"N#CC1(Nc2ccccc2)CCNCC1.O=CC1CCc2ccccc2C1O,N#CC1(Nc2ccccc2)CCN(CC2CCc3ccccc3C2=O)CC1,N#CC1(Nc2ccccc2)CCN(C(=O)C2CCc3ccccc3C2O)CC1,N#CC1(Nc2ccccc2)CCN(CC2=CCc3ccccc3C2O)CC1,N#CC1(Nc2ccccc2)CCN(C=C2CCc3ccccc3C2O)CC1,N#CC1(Nc2ccccc2)CCNCC1.O=CC1CCc2ccccc2C1O,N#CC1(Nc2ccccc2)CCN(CC2C=Cc3ccccc3C2O)CC1,N#CC1(Nc2ccccc2)CCN(C=O)CC1.OCC1CCc2ccccc2C1O,N#CC1(Nc2ccccc2)CCNCC1.O=C1c2ccccc2CCC1CO,CS(=O)(=O)OCC1CCc2ccccc2C1O.N#CC1(Nc2ccccc2)CCNCC1"
Cc1cc(C)n2nc3c(c2n1)CNC3,Cc1cc(C)n2nc3c(c2n1)CN(C(=O)OC(C)(C)C)C3,"Cc1cc(C)n2nc3c(c2n1)CN(C(=O)OC(C)(C)C)C3,Cc1cc(C)n2nc3c(c2n1)CN(Cc1ccccc1)C3,Cc1cc(C)n2nc3c(c2n1)CN(C(=O)C(F)(F)F)C3,Cc1cc(C)n2nc3c(c2n1)CN(C(=O)OCc1ccccc1)C3,Cc1cc(C)n2nc3c(c2n1)CNC3=O,COc1ccc(CN2Cc3nn4c(C)cc(C)nc4c3C2)cc1,Cc1cc(C)n2nc3c(c2n1)CNC3Cl,,Cc1cc(C)n2nc3c(c2n1)CN([Si](C)(C)C(C)(C)C)C3,C"
CC(CC(=O)NO)C(=O)N[C@@H](C)C(=O)O,COC(=O)CC(C)C(=O)N[C@@H](C)C(=O)O.NO,"COC(=O)[C@H](C)NC(=O)C(C)CC(=O)NO,COC(=O)CC(C)C(=O)N[C@@H](C)C(=O)O.NO,CCOC(=O)[C@H](C)NC(=O)C(C)CC(=O)NO,CC(CC(=O)NOC1CCCCO1)C(=O)N[C@@H](C)C(=O)O,CCOC(=O)CC(C)C(=O)N[C@@H](C)C(=O)O.NO,COC(=O)CC(C)C(=O)N[C@@H](C)C(=O)O,CC(CC(=O)NO)C(=O)Cl.C[C@H](N)C(=O)O,CCOC(=O)CC(C)C(=O)N[C@@H](C)C(=O)O,COC(=O)[C@H](C)NC(=O)C(C)CC(=O)NO.NO,CC(=CC(=O)NO)C(=O)N[C@@H](C)C(=O)O"
NC(=O)N[C@@H]1CCNC1,CC(C)(C)OC(=O)N1CC[C@@H](NC(N)=O)C1,"CC(C)(C)OC(=O)N1CC[C@@H](NC(N)=O)C1,NC(=O)N[C@@H]1CCN(Cc2ccccc2)C1,NC(=O)N[C@@H]1CCN(C(=O)OCc2ccccc2)C1,CC(C)(C)OC(=O)N1CC[C@H](NC(N)=O)C1,NC(=O)NC1CCN(Cc2ccccc2)C1,CC(=O)N1CC[C@@H](NC(N)=O)C1,,NC(=O)NC1CCN(C(=O)OCc2ccccc2)C1,CC(C)(C)OC(=O)N1CCC(NC(N)=O)C1,NC(=O)N[C@@H]1CCN(Cc2ccccc2)C1"
